1-Jan-2025	1234
6-Jan-2025	2345
10-Jan-2025	4567
1-Feb-2025	9876
6-Feb-2025	4568
10-Feb-2025	3365
1-Mar-2025	1123
6-Mar-2025	7768
10-Mar-2025	0987
1-Apr-2025	0012
6-Apr-2025	2234
10-Apr-2025	5784
1-May-2025	6543
6-May-2025	4321
10-May-2025	7655
1-Jun-2025	7789
6-Jun-2025	7745
10-Jun-2025	0991
1-Jul-2025	0123
6-Jul-2025	4456
10-Jul-2025	8672
1-Aug-2025	8685
6-Aug-2025	0304
10-Aug-2025	3456
1-Sep-2025	6578
6-Sep-2025	9798
10-Sep-2025	2314
1-Oct-2025	5467
6-Oct-2025	7676
10-Oct-2025	9820
1-Nov-2025	4563
6-Nov-2025	1221
10-Nov-2025	7830
1-Dec-2025	4456
6-Dec-2025	8997
10-Dec-2025	4678
